"DAY,N,16,0","MONTH,N,16,0","YEAR,N,16,0","LATITUDE,N,16,8","LONGITUD,N,16,8","STATE,N,16,0","COUNTY,N,16,0","HARM_EV,N,16,0","FATALS,N,16,0","DRUNK_DR,N,16,0"
25,2,2014,34.85126667,-86.57139444,1,89,12,2,1
25,2,2014,33.12365833,-86.29142778,1,121,1,1,0
21,2,2014,33.52407222,-86.77823333,1,73,10,1,1
23,2,2014,33.18979722,-87.30030833,1,125,12,1,0
24,2,2014,31.38218056,-86.08644722,1,31,1,1,0
28,2,2014,33.06035556,-86.04725,1,37,10,1,1
26,2,2014,34.25949722,-86.08535556,1,49,32,1,1
28,2,2014,31.08384722,-87.48025278,1,53,52,1,0
1,3,2014,32.10328333,-86.58860833,1,85,35,1,1
4,3,2014,33.51765556,-85.63361944,1,29,30,1,0
2,3,2014,30.66119167,-88.1909,1,97,39,1,0
3,3,2014,34.36320278,-86.40636667,1,95,24,1,0
3,3,2014,34.12985556,-86.06294444,1,55,53,1,1
4,3,2014,30.66808889,-88.04944444,1,97,24,1,1
4,3,2014,33.4977,-86.794125,1,73,8,1,0
5,3,2014,32.41217222,-85.95096389,1,87,12,1,0
5,3,2014,32.58379167,-86.46428889,1,1,8,1,0
8,3,2014,34.58647778,-87.35700278,1,79,32,1,0
8,3,2014,32.45573889,-87.53394722,1,91,34,1,1
10,3,2014,31.54104444,-87.79090556,1,25,10,1,0
11,3,2014,33.18902222,-87.32625278,1,125,35,1,0
5,2,2014,34.24621667,-85.85006389,1,49,12,2,0
10,3,2014,32.48728333,-87.80341944,1,91,58,1,0
24,3,2014,31.30071111,-85.76359722,1,45,12,1,1
1,3,2014,30.69848333,-88.12412222,1,97,12,1,1
8,3,2014,34.67371111,-86.02336667,1,71,42,1,0
13,3,2014,32.307875,-85.67876111,1,87,12,1,0
13,3,2014,30.81267778,-88.18560833,1,97,32,1,0
14,3,2014,33.76795833,-85.89258889,1,15,12,1,0
14,3,2014,33.38441111,-86.62213056,1,117,42,1,1
14,3,2014,31.83293056,-88.275625,1,23,58,2,0
14,3,2014,32.89476944,-86.83405278,1,21,32,1,1
16,3,2014,33.03165278,-85.69520556,1,123,42,1,1
17,3,2014,33.37389167,-86.91751944,1,73,12,1,0
17,3,2014,32.34571667,-85.127825,1,113,12,1,0
17,3,2014,33.01977222,-86.10343611,1,37,12,1,0
17,3,2014,32.36778056,-86.37341111,1,101,12,1,0
20,3,2014,31.17379167,-85.79868333,1,61,32,1,0
21,3,2014,34.40958333,-88.03554722,1,59,42,1,0
21,3,2014,32.62387222,-85.38787778,1,81,1,1,0
22,3,2014,34.16446667,-86.89400278,1,43,42,1,1
22,3,2014,34.73506389,-86.62011944,1,89,8,1,0
25,3,2014,32.58191111,-85.50158056,1,81,12,2,0
25,3,2014,33.85488333,-86.85466667,1,9,42,1,0
1,2,2014,34.67144444,-86.87311111,1,83,23,1,0
22,3,2014,30.77141944,-87.78315,1,3,1,1,1
22,3,2014,30.65603333,-88.39613611,1,97,42,2,1
22,3,2014,33.12085556,-87.49256667,1,125,42,1,0
22,3,2014,31.04458333,-87.72328333,1,3,1,1,1
30,3,2014,33.20889167,-87.56944722,1,125,25,1,1
31,3,2014,30.57433889,-88.24155556,1,97,12,1,0
31,3,2014,33.88863333,-86.25024167,1,115,12,2,1
2,4,2014,34.91226111,-86.73086389,1,89,42,1,1
1,4,2014,32.35823889,-86.39184722,1,101,12,1,0
3,2,2014,31.99209722,-87.31150278,1,131,12,1,0
21,3,2014,30.24269722,-87.72780833,1,3,8,1,1
22,3,2014,33.01031944,-87.75843333,1,63,24,1,1
22,3,2014,31.84298611,-87.35576111,1,131,42,1,1
23,3,2014,33.60101944,-85.84253889,1,15,8,1,0
26,3,2014,34.01354167,-85.99715278,1,55,5,1,1
26,3,2014,31.992325,-87.92726944,1,91,32,1,1
27,3,2014,32.83883611,-85.49528056,1,17,42,1,1
28,3,2014,32.63431667,-85.954175,1,51,42,1,1
30,3,2014,33.70505278,-87.49991667,1,127,42,1,0
30,3,2014,34.37818333,-85.79753056,1,49,42,1,1
30,3,2014,33.874225,-86.92609444,1,43,42,1,0
30,3,2014,32.59889167,-85.45855833,1,81,12,1,0
31,3,2014,33.97025833,-86.11797778,1,55,12,1,1
7,4,2014,33.60738611,-86.58174722,1,73,42,1,0
3,4,2014,30.67999444,-88.19414444,1,97,30,1,1
4,4,2014,31.07366111,-88.28640556,1,97,42,1,1
4,4,2014,34.194825,-86.16106667,1,95,12,1,0
5,4,2014,32.64038889,-85.41101667,1,81,32,1,0
9,3,2014,34.76074444,-87.96630278,1,33,30,1,0
29,3,2014,30.26855,-87.59091944,1,3,8,1,1
4,4,2014,32.53908056,-86.22479444,1,51,12,1,0
12,4,2014,32.83092222,-86.70084722,1,21,12,1,0
15,4,2014,31.80514722,-86.66961111,1,13,24,1,0
17,4,2014,33.99580833,-87.92955556,1,93,12,2,0
18,4,2014,30.73969722,-88.10873889,1,97,12,1,0
13,4,2014,33.72196667,-86.99066389,1,73,34,1,1
4,4,2014,33.34399444,-87.02596111,1,73,12,1,0
4,4,2014,34.94473889,-86.948225,1,83,32,1,0
4,4,2014,32.39079167,-86.21306111,1,101,10,1,0
5,4,2014,32.73550278,-86.11107222,1,51,1,1,1
6,4,2014,32.47321111,-85.14068611,1,81,42,1,0
8,4,2014,32.15176667,-87.51891111,1,131,11,2,1
8,4,2014,32.42691667,-85.90788333,1,87,24,1,0
9,4,2014,30.560475,-88.18122778,1,97,12,1,0
10,4,2014,32.39369722,-86.31854722,1,101,12,1,0
12,4,2014,33.17423056,-87.49059444,1,125,42,1,1
12,4,2014,31.51630278,-87.0235,1,35,42,1,1
13,4,2014,33.84195278,-86.66498056,1,9,59,1,1
13,4,2014,30.29971389,-87.68294444,1,3,12,1,0
16,4,2014,32.67876111,-86.30018889,1,51,53,1,1
17,4,2014,34.67687222,-86.52104722,1,89,30,1,1
19,4,2014,32.10272222,-87.75453333,1,91,42,1,1
8,4,2014,31.72888889,-87.77023056,1,25,12,1,0
12,4,2014,33.22807778,-87.42908333,1,125,32,1,0
12,4,2014,33.21191111,-86.70986667,1,117,1,1,1
18,4,2014,31.63379167,-85.27969444,1,67,34,1,0
18,4,2014,33.90768889,-87.30836111,1,127,1,1,0
19,4,2014,33.49392778,-85.74745833,1,27,11,1,0
21,4,2014,33.27431944,-87.49080833,1,125,34,1,0
17,2,2014,30.75878333,-88.22186111,1,97,12,1,0
11,4,2014,34.44058611,-87.00253611,1,103,12,2,0
16,4,2014,34.19857778,-86.80380833,1,43,12,1,0
19,4,2014,34.18200556,-86.81693056,1,43,12,1,0
22,4,2014,33.42466389,-86.88696944,1,73,12,1,0
24,4,2014,33.55852222,-86.78320833,1,73,30,1,0
26,4,2014,31.44670833,-86.97947222,1,35,42,1,1
14,4,2014,30.79511667,-88.2289,1,97,12,1,0
16,4,2014,34.10514722,-85.54778333,1,19,12,1,0
18,4,2014,31.27642222,-86.47423889,1,39,12,1,0
18,4,2014,30.42393056,-88.34325833,1,97,42,1,1
19,4,2014,33.57081944,-86.49669444,1,115,8,1,0
22,4,2014,32.84250556,-86.95826111,1,7,12,1,1
22,4,2014,33.53639722,-86.69331111,1,73,1,1,0
26,4,2014,34.44038611,-86.60988611,1,103,42,1,1
26,4,2014,99.9999,999.9999,1,49,1,1,0
25,4,2014,32.53129722,-86.327675,1,51,8,1,0
3,3,2014,33.99713889,-86.09506944,1,55,12,3,0
20,3,2014,34.90058056,-87.80076111,1,77,5,1,1
