"DAY,N,16,0","MONTH,N,16,0","YEAR,N,16,0","LATITUDE,N,16,8","LONGITUD,N,16,8","STATE,N,16,0","COUNTY,N,16,0","HARM_EV,N,16,0","FATALS,N,16,0","DRUNK_DR,N,16,0"
4,1,2011,31.93380833,-85.13751944,1,5,34,1,1
4,1,2011,33.54500833,-86.65259444,1,73,35,1,0
5,1,2011,30.70789444,-88.17341667,1,97,12,2,1
8,1,2011,33.67650278,-85.84126667,1,15,34,1,0
8,1,2011,34.78365556,-85.88662778,1,71,34,1,0
11,1,2011,32.32708889,-86.24123056,1,101,30,1,0
13,1,2011,33.96973611,-86.49295833,1,9,42,2,0
14,1,2011,30.697775,-88.106225,1,97,8,1,0
15,1,2011,34.88033889,-85.85936667,1,71,42,1,1
1,1,2011,33.69312778,-87.12245,1,127,12,1,0
1,1,2011,34.79766389,-86.98327778,1,83,8,1,0
2,1,2011,34.58037778,-86.43711389,1,89,42,1,0
2,1,2011,34.52971667,-87.19844444,1,79,8,1,0
3,1,2011,33.09127222,-87.05174722,1,7,42,1,0
3,1,2011,34.69465278,-86.70711944,1,89,12,1,0
4,1,2011,31.43933611,-85.64306667,1,45,8,1,0
7,1,2011,33.778925,-86.42184722,1,115,34,1,1
9,1,2011,34.95936667,-87.73246111,1,77,34,1,0
9,1,2011,32.17369722,-86.49901389,1,85,42,1,0
11,1,2011,33.92328611,-87.62214167,1,127,34,1,0
13,1,2011,32.29405556,-85.00741667,1,113,12,1,0
13,1,2011,32.56312222,-87.60552222,1,65,1,1,1
14,1,2011,31.60381389,-88.140125,1,129,42,1,0
14,1,2011,32.69619444,-85.78767778,1,123,1,1,0
15,1,2011,33.9715,-85.76480278,1,55,42,1,1
15,1,2011,32.38362222,-86.32224167,1,101,12,1,0
15,1,2011,34.84573333,-87.37903056,1,77,12,1,1
15,1,2011,30.588925,-88.20487778,1,97,12,1,0
15,1,2011,30.92023889,-88.19949722,1,97,12,2,0
16,1,2011,30.96880556,-88.13633611,1,97,1,1,0
16,1,2011,34.55935833,-86.60732778,1,103,42,1,0
17,1,2011,33.8861,-85.73808889,1,15,42,1,0
18,1,2011,32.65684722,-86.16439722,1,51,32,1,1
21,1,2011,32.69008056,-85.31914722,1,81,12,3,0
21,1,2011,33.33995833,-87.32289722,1,125,12,1,0
21,1,2011,30.99847778,-86.13230833,1,61,34,1,1
22,1,2011,32.48224444,-86.43003333,1,1,12,1,1
26,1,2011,31.06396389,-85.52200833,1,61,32,1,0
26,1,2011,34.28533889,-86.58630833,1,43,12,1,0
28,1,2011,34.65951389,-86.00728611,1,71,8,1,1
28,1,2011,34.40106667,-87.75263056,1,59,12,1,1
30,1,2011,34.77855556,-86.61659444,1,89,8,1,0
1,2,2011,32.433025,-87.04915833,1,47,12,1,0
2,2,2011,30.67595556,-88.17791111,1,97,8,1,2
3,2,2011,33.34139167,-86.90065278,1,73,59,1,1
1,2,2011,34.36302778,-86.42168611,1,95,8,1,0
5,2,2011,31.91059722,-86.24069167,1,41,35,1,1
18,1,2011,33.48348333,-86.82628056,1,73,30,1,0
19,1,2011,33.48848611,-86.81599167,1,73,19,1,0
10,2,2011,33.50008333,-86.852375,1,73,12,1,0
2,2,2011,33.32151667,-86.61775833,1,117,12,1,0
3,2,2011,31.95354722,-87.18656667,1,131,42,1,1
3,2,2011,33.75290833,-86.27563611,1,115,12,2,0
3,2,2011,33.771425,-86.82873889,1,73,24,1,0
4,2,2011,34.81912222,-87.75011944,1,77,12,2,1
4,2,2011,32.48189167,-88.35272778,1,119,42,1,0
5,2,2011,34.43050556,-87.22849444,1,79,1,1,1
6,2,2011,33.03529167,-86.05468611,1,37,12,1,0
6,2,2011,30.60391389,-87.8983,1,3,12,1,0
7,2,2011,32.14350556,-86.60701667,1,85,42,1,1
8,2,2011,31.79581667,-85.25596667,1,5,12,2,0
10,2,2011,30.39183056,-88.10945,1,97,42,1,1
10,2,2011,30.83516389,-87.8823,1,3,12,1,0
10,2,2011,33.63916944,-86.37416944,1,115,12,1,0
11,2,2011,34.95525556,-86.78977222,1,83,42,1,1
11,2,2011,31.522325,-85.26761667,1,67,42,1,0
11,2,2011,34.89818889,-85.77724722,1,71,42,1,1
11,2,2011,34.81335278,-85.73111389,1,71,53,1,0
11,2,2011,32.71113333,-85.17842778,1,81,32,1,1
11,2,2011,34.78685,-86.5186,1,89,12,1,0
12,2,2011,32.65822778,-88.16608889,1,119,42,2,1
13,2,2011,33.63981944,-87.65742222,1,57,12,2,0
14,2,2011,31.40135833,-86.87833889,1,35,12,1,0
15,2,2011,34.119125,-87.607125,1,133,1,1,1
19,2,2011,34.75103611,-86.63567222,1,89,1,1,0
