"DAY,N,16,0","MONTH,N,16,0","YEAR,N,16,0","LATITUDE,N,16,8","LONGITUD,N,16,8","STATE,N,16,0","COUNTY,N,16,0","HARM_EV,N,16,0","FATALS,N,16,0","DRUNK_DR,N,16,0"
15,1,2010,32.64106389,-85.35469167,1,81,42,1,1
11,1,2010,31.43044722,-86.95669444,1,35,30,1,0
14,1,2010,30.69163056,-88.08577778,1,97,12,1,0
21,1,2010,33.8687,-86.29116389,1,115,12,1,0
4,1,2010,33.30974167,-86.78722222,1,117,12,1,0
1,1,2010,32.78581389,-86.57450833,1,21,32,1,0
1,1,2010,30.46146389,-88.29401944,1,97,53,2,0
2,1,2010,33.99555556,-86.43900278,1,9,31,1,0
2,1,2010,32.70871667,-86.14818611,1,51,1,1,0
3,1,2010,32.25259444,-85.00338333,1,113,12,1,1
4,1,2010,34.32906111,-86.16592222,1,95,17,1,0
4,1,2010,31.9941,-87.86773056,1,91,42,1,1
5,1,2010,33.06655,-87.53685278,1,125,42,1,1
6,1,2010,33.88872778,-86.76163056,1,9,12,1,0
6,1,2010,32.58800833,-86.92938056,1,47,34,1,0
7,1,2010,33.69823889,-87.25543611,1,127,12,1,0
7,1,2010,34.23519444,-85.79175278,1,19,1,1,0
7,1,2010,31.50969444,-87.48523611,1,99,12,2,0
10,1,2010,32.03341944,-86.03257222,1,101,53,1,1
7,1,2010,34.20842222,-87.05831944,1,43,12,1,0
7,1,2010,34.21050556,-86.28487222,1,95,12,1,0
11,1,2010,34.07256944,-85.9192,1,55,8,1,0
11,1,2010,34.54016667,-86.91805833,1,103,12,1,0
12,1,2010,34.25094722,-86.10614167,1,49,8,1,0
13,1,2010,30.46113611,-88.25905833,1,97,42,1,0
14,1,2010,32.12425278,-86.27341389,1,101,34,1,0
16,1,2010,31.66762778,-85.83286667,1,109,42,1,0
15,1,2010,34.18200556,-86.64188056,1,43,12,1,0
17,1,2010,34.23168333,-86.61481667,1,43,42,2,0
18,1,2010,32.17258889,-86.67206944,1,85,1,1,1
21,1,2010,33.77533611,-87.46370278,1,127,1,1,1
22,1,2010,33.70572222,-86.40302222,1,115,42,1,0
23,1,2010,31.00506667,-87.58129167,1,53,34,1,0
28,1,2010,33.628725,-85.55716667,1,29,12,1,0
30,1,2010,33.53526944,-86.69771944,1,73,39,1,0
5,1,2010,32.00395556,-87.31188056,1,131,12,1,0
10,1,2010,34.25121389,-86.25799167,1,95,32,1,1
14,1,2010,31.42496389,-87.13844722,1,35,12,1,0
15,1,2010,32.47539167,-85.36676389,1,81,53,1,1
16,1,2010,32.45680833,-85.18741111,1,113,12,1,0
17,1,2010,30.775875,-88.18546667,1,97,42,1,1
18,1,2010,33.87975833,-87.16157778,1,127,12,3,0
20,1,2010,32.58449167,-87.34401111,1,105,12,1,1
23,1,2010,30.76025833,-88.15321944,1,97,32,1,1
24,1,2010,32.6189,-86.22354722,1,51,30,1,1
24,1,2010,32.82171389,-85.59425833,1,123,42,1,1
25,1,2010,34.72885556,-86.48895556,1,89,12,1,0
28,1,2010,33.49440833,-85.68269444,1,27,42,1,0
28,1,2010,34.76536111,-86.87728056,1,83,12,1,0
29,1,2010,34.957825,-87.52741389,1,77,12,3,0
29,1,2010,34.69036667,-86.00071944,1,71,12,1,0
30,1,2010,33.64933611,-85.72008611,1,15,35,1,1
1,2,2010,34.89723889,-87.53185278,1,77,12,1,0
2,2,2010,34.90518611,-87.82072778,1,77,12,1,0
4,2,2010,30.56756944,-87.64526111,1,3,12,1,0
4,2,2010,33.36529167,-86.71638056,1,117,12,1,0
6,2,2010,34.05106944,-85.81016389,1,55,12,1,1
6,2,2010,33.53010833,-85.94894722,1,121,35,1,0
7,2,2010,34.027375,-86.11078611,1,55,42,1,0
8,2,2010,34.61162222,-86.97446944,1,103,12,1,0
8,2,2010,34.17349167,-86.5389,1,9,34,1,1
10,2,2010,34.66890833,-86.95017778,1,83,12,1,0
12,2,2010,34.02105833,-86.11753333,1,55,12,1,0
12,2,2010,32.26628611,-85.94693611,1,11,52,2,0
12,2,2010,34.93194722,-85.5974,1,71,12,1,0
21,1,2010,30.71966667,-88.1439,1,97,12,1,0
1,2,2010,34.62860833,-86.94285,1,83,12,1,0
2,2,2010,31.41861111,-87.00978889,1,35,12,1,0
5,2,2010,31.87659167,-85.23907778,1,5,34,1,0
5,1,2010,33.41061389,-86.97054167,1,73,1,1,0
16,1,2010,32.32568056,-86.73812222,1,85,42,1,0
21,1,2010,32.87381944,-86.65406111,1,21,12,1,0
9,2,2010,31.264175,-86.22892778,1,39,12,1,0
17,2,2010,33.17044167,-87.37550278,1,125,12,1,1
26,2,2010,30.65161944,-88.20765,1,97,12,1,1
27,2,2010,30.79537778,-88.07703889,1,97,12,1,1
12,2,2010,32.77789444,-88.05328611,1,63,1,1,0
16,2,2010,33.86401944,-86.10808333,1,115,53,1,1
18,2,2010,33.31984167,-86.78858056,1,117,42,1,0
19,2,2010,34.73163333,-87.86328889,1,33,12,1,0
27,2,2010,33.5201,-86.85557222,1,73,34,1,1
5,2,2010,33.37401111,-86.82911389,1,73,42,1,0
19,2,2010,33.87740278,-87.2497,1,127,8,1,0
23,2,2010,34.10185,-86.26273333,1,55,1,1,0
26,2,2010,32.69951667,-87.55096667,1,65,1,3,1
27,2,2010,34.22405833,-87.66298056,1,93,1,1,0
24,1,2010,34.62146667,-86.16575556,1,71,12,1,0
20,2,2010,34.44089444,-85.91096111,1,49,1,1,1
12,2,2010,33.54068056,-87.08343056,1,73,12,1,0
12,2,2010,33.57085833,-85.85282778,1,121,30,1,1
13,2,2010,34.76989444,-86.70640833,1,89,12,1,1
15,2,2010,34.79123333,-87.03011944,1,83,12,1,0
26,2,2010,33.81895556,-86.21908333,1,115,12,1,0
27,2,2010,32.01388889,-86.51933889,1,85,12,1,0
28,2,2010,31.63695833,-87.67197222,1,25,8,1,1
28,2,2010,32.44179167,-85.19560556,1,113,32,1,1
16,3,2010,30.67776944,-87.98653611,1,3,8,1,1
23,3,2010,33.58479167,-86.50296111,1,115,34,1,0
1,3,2010,33.13769444,-87.64694167,1,125,24,1,0
4,3,2010,33.47755833,-86.92650556,1,73,12,1,1
5,3,2010,34.51023056,-86.60039722,1,103,42,1,1
5,3,2010,33.94765,-86.66964722,1,9,12,1,0
7,3,2010,31.11272222,-87.63730556,1,3,34,1,0
8,3,2010,32.53660278,-85.08393889,1,81,12,1,0
8,3,2010,33.15569167,-85.30783611,1,111,12,1,0
11,4,2010,34.52496389,-86.98576944,1,103,12,1,0
13,4,2010,34.22063889,-85.59632222,1,19,8,1,0
15,4,2010,34.49039444,-86.83872778,1,103,12,1,0
13,4,2010,33.61486944,-85.74397778,1,15,1,1,0
15,1,2010,33.5168,-87.04959167,1,73,42,1,0
17,1,2010,33.32699722,-86.90885,1,73,35,1,0
24,1,2010,33.55803056,-86.50056944,1,115,42,1,1
19,2,2010,34.27760833,-87.69914722,1,93,12,1,0
1,3,2010,30.687425,-88.04191389,1,97,39,1,1
3,3,2010,31.29174722,-85.84850833,1,31,12,1,1
15,3,2010,30.65559167,-88.14048056,1,97,33,1,1
5,3,2010,31.84843333,-86.640225,1,13,12,1,0
6,3,2010,34.19097222,-86.15076667,1,95,42,1,0
7,3,2010,33.45003056,-86.89966111,1,73,9,1,0
15,3,2010,33.406675,-86.88198333,1,73,12,1,0
18,3,2010,30.70381389,-88.12374167,1,97,12,1,1
18,3,2010,34.00475278,-85.99595556,1,55,8,1,0
19,3,2010,33.35084167,-86.83755,1,73,5,1,0
20,3,2010,30.69185833,-88.10165556,1,97,30,2,1
25,3,2010,30.74037778,-88.17845833,1,97,12,1,0
27,3,2010,34.30062222,-86.27484167,1,95,8,1,0
28,3,2010,30.546625,-88.17363889,1,97,10,1,1
29,3,2010,34.19841667,-86.16336944,1,95,30,1,0
