"DAY,N,16,0","MONTH,N,16,0","YEAR,N,16,0","LATITUDE,N,16,8","LONGITUD,N,16,8","STATE,N,16,0","COUNTY,N,16,0","HARM_EV,N,16,0","FATALS,N,16,0","DRUNK_DR,N,16,0"
1,1,2012,32.70131667,-85.52518056,1,81,1,1,1
1,1,2012,34.74250833,-86.88350556,1,83,14,1,0
2,1,2012,32.55205278,-87.34776944,1,105,35,1,0
5,1,2012,32.64143611,-85.3543,1,81,12,1,0
6,1,2012,34.92802778,-87.81505556,1,77,42,1,0
8,1,2012,32.38015556,-86.29790278,1,101,8,1,0
8,1,2012,32.42127222,-87.0869,1,47,34,1,1
4,1,2012,32.90949722,-85.758875,1,123,35,1,1
1,1,2012,33.58091944,-86.27647222,1,115,12,1,0
4,1,2012,32.516175,-86.21178889,1,51,8,1,0
6,1,2012,33.5726,-86.65275,1,73,31,1,0
22,1,2012,33.83251111,-87.26960278,1,127,8,1,0
25,1,2012,34.65639167,-85.72738333,1,49,1,1,0
27,1,2012,34.27694167,-87.71489167,1,93,42,1,0
1,1,2012,33.73851111,-86.48933611,1,115,12,2,1
3,1,2012,33.95131667,-86.29692778,1,115,38,1,0
3,1,2012,31.35445278,-88.22942778,1,129,53,1,0
4,1,2012,34.05263333,-87.55327778,1,133,12,1,0
6,1,2012,33.37958889,-85.31454444,1,111,1,1,1
7,1,2012,30.50248333,-87.79342222,1,3,35,1,0
10,1,2012,32.31560556,-86.88108333,1,47,11,1,1
10,1,2012,32.66918611,-86.26668611,1,51,8,1,1
10,1,2012,31.75038889,-88.04425278,1,25,34,2,0
10,1,2012,33.56985833,-86.44631111,1,115,42,1,0
12,1,2012,33.27090833,-87.74382778,1,125,42,1,0
13,1,2012,33.93598333,-87.72403056,1,93,42,1,0
14,1,2012,32.30963889,-86.28067222,1,101,52,1,1
14,1,2012,31.09773333,-85.44489722,1,69,12,1,0
14,1,2012,32.26710833,-87.62540556,1,91,12,1,0
14,1,2012,33.54263056,-86.56250833,1,73,30,1,1
14,1,2012,34.72013611,-86.48970556,1,89,34,1,1
14,1,2012,34.78547778,-85.59655833,1,49,12,1,0
15,1,2012,30.65705278,-88.24490833,1,97,8,1,0
16,1,2012,31.25939167,-86.608275,1,39,1,1,0
16,1,2012,31.27647222,-86.18111944,1,31,35,1,0
17,1,2012,30.543225,-88.22778056,1,97,42,1,0
18,1,2012,31.22416389,-85.63784167,1,69,30,1,1
20,1,2012,33.38549167,-86.03296944,1,121,42,1,0
20,1,2012,33.18337778,-87.55456389,1,125,9,1,1
20,1,2012,31.16811389,-85.37718889,1,69,12,1,0
21,1,2012,32.38368056,-86.38046944,1,101,12,1,1
21,1,2012,32.36253333,-86.21578889,1,101,24,1,1
21,1,2012,31.14464444,-86.86605556,1,53,42,1,1
26,1,2012,31.72568611,-86.03222222,1,109,42,1,0
26,1,2012,33.34107222,-87.56483889,1,125,12,1,0
28,1,2012,30.72373333,-88.248025,1,97,12,1,0
28,1,2012,33.09492222,-87.22630278,1,7,35,1,1
28,1,2012,33.12414722,-85.32689167,1,111,42,1,1
18,1,2012,30.667125,-88.1705,1,97,42,1,1
25,1,2012,31.25563056,-85.43430278,1,69,12,1,0
30,1,2012,34.36448056,-86.11376111,1,95,42,1,1
30,1,2012,32.43648333,-85.02423056,1,113,33,1,1
31,1,2012,32.47655556,-86.47356111,1,1,9,1,0
30,1,2012,34.68354722,-86.73476389,1,89,12,1,2
14,1,2012,33.59749167,-85.94084722,1,15,8,1,0
23,1,2012,32.88121111,-85.39059722,1,17,12,1,0
24,1,2012,33.61210556,-86.68737222,1,73,12,1,0
1,2,2012,34.59659722,-85.99664167,1,71,12,1,0
1,2,2012,33.21926667,-87.58566111,1,125,8,1,0
1,2,2012,32.01673056,-86.35999722,1,41,35,1,1
4,2,2012,32.74463611,-85.28206389,1,17,1,2,0
4,2,2012,33.816825,-86.371725,1,115,34,1,1
6,2,2012,33.57028611,-86.89997222,1,73,12,1,0
7,2,2012,34.75231944,-86.824575,1,83,34,1,1
7,2,2012,34.04098611,-86.88535278,1,43,12,2,0
8,2,2012,33.81774722,-86.59756667,1,9,8,1,0
8,2,2012,34.17370278,-86.89255833,1,43,12,1,0
9,2,2012,34.77935,-86.61655556,1,89,8,1,0
9,2,2012,34.94517778,-87.62675,1,77,53,1,0
11,2,2012,31.14635278,-85.51101667,1,61,12,1,1
2,2,2012,30.24903056,-87.70107222,1,3,35,1,1
28,1,2012,33.49045278,-86.90728611,1,73,12,1,0
7,2,2012,34.32125556,-86.31217778,1,95,1,1,0
15,2,2012,34.73763333,-86.60610278,1,89,12,1,2
18,2,2012,30.35567778,-87.67881111,1,3,32,1,1
19,2,2012,31.96683333,-87.64171944,1,131,34,1,0
24,2,2012,32.42306389,-87.00239167,1,47,12,1,0
5,1,2012,33.18965278,-87.45851944,1,125,12,1,0
16,1,2012,34.17608611,-86.34766944,1,95,12,1,0
28,1,2012,32.34402778,-86.22388889,1,101,8,1,0
21,1,2012,34.06635833,-87.54353889,1,133,42,1,0
14,1,2012,30.54553611,-87.74228333,1,3,42,1,0
4,2,2012,33.43299444,-86.82408611,1,73,25,1,0
5,2,2012,30.58463889,-88.142225,1,97,12,1,0
9,2,2012,34.39453056,-86.67515833,1,103,12,1,0
10,2,2012,31.90223333,-87.37527778,1,131,42,1,0
11,2,2012,34.79994167,-87.07167778,1,83,34,1,0
11,2,2012,33.31189444,-87.888925,1,107,42,2,1
11,2,2012,30.45783611,-87.77105833,1,3,12,1,0
12,2,2012,34.97799167,-87.25075,1,77,34,1,1
13,2,2012,33.35213611,-86.85598333,1,73,1,1,1
15,2,2012,33.54654167,-86.58539167,1,73,12,1,0
15,2,2012,33.24695556,-87.84088333,1,107,23,1,1
18,2,2012,32.90000833,-87.12397778,1,7,42,1,0
18,2,2012,31.72705278,-87.10036111,1,99,35,2,0
18,2,2012,34.493,-87.37201389,1,79,1,1,0
19,2,2012,33.705575,-86.7592,1,73,42,2,0
19,2,2012,33.95125556,-86.38592778,1,9,42,1,0
20,2,2012,33.79484167,-86.61626111,1,9,1,1,0
21,2,2012,34.02849444,-86.90134444,1,43,12,1,0
22,2,2012,33.70283889,-86.20365556,1,115,42,1,0
26,2,2012,33.7317,-87.01558611,1,73,24,1,0
12,2,2012,32.31258611,-86.22396389,1,101,8,1,0
21,2,2012,31.98757778,-85.11444444,1,5,12,1,0
21,2,2012,31.33111944,-85.81186111,1,31,12,1,0
29,2,2012,34.68881667,-86.721175,1,89,12,1,0
9,2,2012,34.13128889,-85.84590556,1,55,12,1,1
18,2,2012,30.76359167,-88.15784722,1,97,12,1,1
21,2,2012,34.60483333,-85.9917,1,71,12,1,0
22,2,2012,34.54180278,-86.53335,1,89,17,1,1
26,2,2012,32.36681111,-86.31686944,1,101,30,1,1
26,2,2012,32.77323889,-87.27843056,1,105,12,2,0
27,2,2012,30.829125,-88.26487778,1,97,53,1,0
27,2,2012,34.08721111,-85.44910833,1,19,12,1,0
16,2,2012,30.65115278,-88.12173611,1,97,59,1,0
27,2,2012,32.53561667,-85.54959444,1,81,18,1,0
24,2,2012,31.42221667,-85.52078889,1,45,12,1,0
27,2,2012,34.22429722,-86.90158889,1,43,12,1,0
8,3,2012,34.82889167,-87.68447222,1,77,12,1,0
9,3,2012,31.45667778,-85.66613889,1,45,1,1,0
13,3,2012,33.28321389,-87.57045,1,125,53,1,1
14,3,2012,31.71631389,-86.25935,1,41,30,1,0
22,3,2012,33.859525,-87.28093056,1,127,30,1,0
24,3,2012,32.97595556,-85.93258611,1,123,12,1,0
19,2,2012,33.463425,-86.82543889,1,73,24,1,0
1,3,2012,33.22044167,-87.43971389,1,125,34,1,1
2,3,2012,31.09388056,-87.27614167,1,53,1,1,1
2,3,2012,32.57865,-85.322625,1,81,53,1,1
2,3,2012,34.62908611,-86.53769167,1,89,33,1,1
2,3,2012,31.11363056,-87.21026667,1,53,32,1,0
4,3,2012,31.34761667,-87.20721111,1,35,42,1,0
4,3,2012,33.61077778,-86.96296944,1,73,12,1,0
5,3,2012,31.28865278,-85.99266944,1,31,53,1,1
