"DAY,N,16,0","MONTH,N,16,0","YEAR,N,16,0",,"LATITUDE,N,16,8","LONGITUD,N,16,8","STATE,N,16,0","COUNTY,N,16,0","FATALS,N,16,0","DRUNK_DR,N,16,0"
1,3,2013,,33.31792778,-86.19625,1,121,2,1
3,3,2013,,30.6918,-88.06199167,1,97,1,0
3,3,2013,,34.01503611,-86.00016944,1,55,1,1
3,3,2013,,33.018575,-87.2539,1,7,1,0
3,3,2013,,32.90741111,-87.86522222,1,63,1,0
5,3,2013,,34.19551389,-87.72854722,1,93,1,0
5,3,2013,,32.44396389,-87.97706667,1,91,1,0
6,3,2013,,31.76975833,-88.18808611,1,23,1,1
7,3,2013,,32.47519722,-85.05241389,1,113,1,0
8,3,2013,,34.12246389,-88.04064444,1,93,1,0
10,3,2013,,33.854975,-86.33983333,1,115,2,1
8,3,2013,,32.477925,-86.85471944,1,1,2,0
23,3,2013,,33.32408056,-86.90377778,1,73,1,0
26,2,2013,,32.32666667,-86.315975,1,101,1,1
6,3,2013,,34.03252222,-87.905625,1,93,1,1
9,3,2013,,32.37891389,-86.31074167,1,101,1,1
10,3,2013,,30.26271389,-87.61353056,1,3,1,0
10,3,2013,,32.36613056,-88.36540556,1,119,1,1
11,3,2013,,30.46495833,-88.11463889,1,97,1,0
11,3,2013,,31.64189444,-85.67625278,1,5,1,0
12,3,2013,,34.21260278,-87.60422778,1,133,1,0
13,3,2013,,33.42530833,-85.55146667,1,111,1,0
13,3,2013,,32.94077222,-85.20790833,1,17,1,0
14,3,2013,,30.64913611,-88.12099444,1,97,1,0
15,3,2013,,33.40637222,-86.68053056,1,117,1,0
16,3,2013,,32.245325,-85.58056111,1,87,1,1
17,3,2013,,32.49999167,-86.3949,1,51,1,0
18,3,2013,,33.89865833,-87.41574444,1,127,1,0
18,3,2013,,33.86039722,-87.17250278,1,127,2,0
21,3,2013,,33.5816,-85.469225,1,29,3,0
22,3,2013,,32.46851944,-87.79249167,1,91,1,1
22,3,2013,,32.90430278,-86.21404444,1,37,2,0
21,3,2013,,33.98298056,-85.81733889,1,55,1,0
12,2,2013,,33.60245,-86.69117222,1,73,1,0
21,2,2013,,33.61901944,-86.73836389,1,73,1,0
4,3,2013,,33.99192778,-86.03551389,1,55,1,0
12,3,2013,,32.10981667,-88.20051389,1,23,1,1
14,3,2013,,32.48929722,-87.86156944,1,91,1,1
19,3,2013,,30.89388889,-88.01699167,1,97,1,0
23,2,2013,,33.4992,-86.72571111,1,73,1,1
5,3,2013,,33.2594,-86.34693611,1,121,1,0
22,3,2013,,31.27753333,-85.68229722,1,45,1,1
23,3,2013,,30.6869,-88.04156944,1,97,1,0
8,3,2013,,33.38514722,-86.80490556,1,73,1,0
9,3,2013,,34.74185556,-87.51895556,1,33,1,0
11,3,2013,,32.37251944,-86.03919444,1,101,1,1
11,3,2013,,33.177,-86.14995278,1,27,1,0
17,3,2013,,31.17471389,-87.76577778,1,3,1,0
23,3,2013,,34.31163056,-86.59871389,1,103,1,0
24,3,2013,,32.91141944,-87.68082778,1,65,1,1
26,3,2013,,34.65618611,-86.80353889,1,83,1,1
27,3,2013,,34.71760833,-86.55876389,1,89,1,0
28,3,2013,,33.406575,-85.39684722,1,111,1,1
29,3,2013,,30.72943889,-88.07051111,1,97,2,1
31,3,2013,,34.81769167,-86.49179167,1,89,1,0
29,1,2013,,33.15647778,-86.27037778,1,121,1,0
10,3,2013,,33.28132778,-85.33188056,1,111,1,0
25,3,2013,,31.99367222,-86.92472778,1,131,1,0
26,3,2013,,32.68078611,-87.62340556,1,65,1,0
26,3,2013,,33.51652222,-86.30165833,1,115,1,0
28,3,2013,,31.49251389,-86.68685833,1,39,1,0
30,3,2013,,32.70248611,-86.52191111,1,1,1,0
29,3,2013,,31.334075,-85.84901389,1,31,1,0
1,4,2013,,30.27667778,-87.55840833,1,3,1,0
2,4,2013,,33.424875,-86.886975,1,73,1,0
4,4,2013,,31.27234722,-86.84570556,1,35,2,0
5,4,2013,,31.77225278,-88.40376944,1,23,1,0
5,4,2013,,34.02597222,-86.45036944,1,9,2,0
5,4,2013,,31.73498611,-86.28727778,1,41,1,0
6,4,2013,,30.39198889,-88.10948333,1,97,1,0
6,4,2013,,32.46081944,-85.17331667,1,113,1,0
6,4,2013,,34.01160278,-86.38996667,1,9,2,0
6,4,2013,,34.319975,-85.81860556,1,49,1,1
6,4,2013,,33.23005833,-86.56615,1,117,1,0
7,4,2013,,34.946725,-86.89428611,1,83,1,0
7,4,2013,,30.67593611,-88.13163611,1,97,1,0
8,4,2013,,31.97134444,-87.88379167,1,25,1,0
12,4,2013,,33.79663333,-87.24533889,1,127,1,0
12,4,2013,,32.73699444,-87.61059444,1,65,1,0
12,4,2013,,33.16991111,-87.49683056,1,125,1,0
13,4,2013,,34.71517778,-86.54578889,1,89,1,0
15,4,2013,,32.48795278,-86.54148333,1,1,1,0
16,4,2013,,34.67236944,-86.57478333,1,89,1,0
